Timestamp;Temperature (°C);Heat (V);Fan (V)
07.05.2024 10:53;32,06;5;2,425730575
07.05.2024 10:53;32,09;0;2,425730575
07.05.2024 10:53;32,13;0;2,41553788
07.05.2024 10:53;32,18;0;2,41553788
07.05.2024 10:53;32,21;0;2,41553788
07.05.2024 10:53;32,25;5;2,41553788
07.05.2024 10:53;32,28;5;2,425730575
07.05.2024 10:53;32,34;5;2,41553788
07.05.2024 10:53;32,37;5;2,41553788
07.05.2024 10:53;32,42;0;2,41553788
07.05.2024 10:53;32,46;0;2,41553788
07.05.2024 10:53;32,53;0;2,41553788
07.05.2024 10:53;32,56;5;2,425730575
07.05.2024 10:53;32,62;5;2,41553788
07.05.2024 10:53;32,67;5;2,41553788
07.05.2024 10:54;32,7;5;2,41553788
07.05.2024 10:54;32,74;0;2,41553788
07.05.2024 10:54;32,77;0;2,425730575
07.05.2024 10:54;32,81;0;2,425730575
07.05.2024 10:54;32,85;0;2,41553788
07.05.2024 10:54;32,9;5;2,425730575
07.05.2024 10:54;32,95;5;2,425730575
07.05.2024 10:54;32,99;5;2,41553788
07.05.2024 10:54;33,02;5;2,425730575
07.05.2024 10:54;33,06;0;2,425730575
07.05.2024 10:54;33,1;0;2,425730575
07.05.2024 10:54;33,13;0;2,425730575
07.05.2024 10:54;33,16;0;2,425730575
07.05.2024 10:54;33,2;5;2,41553788
07.05.2024 10:54;33,25;5;2,41553788
07.05.2024 10:54;33,29;5;2,425730575
07.05.2024 10:54;33,33;5;2,41553788
07.05.2024 10:54;33,37;0;2,41553788
07.05.2024 10:54;33,39;0;2,41553788
07.05.2024 10:54;33,43;0;2,41553788
07.05.2024 10:54;33,47;0;2,41553788
07.05.2024 10:54;33,51;5;2,41553788
07.05.2024 10:54;33,57;5;2,41553788
07.05.2024 10:54;33,62;5;2,41553788
07.05.2024 10:54;33,66;5;2,41553788
07.05.2024 10:54;33,69;0;2,41553788
07.05.2024 10:54;33,71;0;2,41553788
07.05.2024 10:54;33,76;0;2,425730575
07.05.2024 10:54;33,8;0;2,41553788
07.05.2024 10:54;33,83;5;2,425730575
07.05.2024 10:54;33,88;5;2,41553788
07.05.2024 10:54;33,93;5;2,425730575
07.05.2024 10:54;33,95;5;2,41553788
07.05.2024 10:54;33,98;0;2,425730575
07.05.2024 10:54;34;0;2,425730575
07.05.2024 10:54;34,04;0;2,425730575
07.05.2024 10:54;34,11;0;2,425730575
07.05.2024 10:54;34,14;5;2,41553788
07.05.2024 10:54;34,21;5;2,41553788
